Hello = hello | (ab)=(Hello error correction) == (ab)=(hello error correction) | Cosine Similarity: 1
Diving into water and it's cold = to plunge into water intentionally and especially headfirst | (ab)=(Diving into water and it's cold error correction) == (ab)=(to plunge into water intentionally and especially headfirst error correction) | Cosine Similarity: 0.43301270189222
Bananas and peanut butter = peanut | (ab)=(Bananas and peanut butter error correction) == (ab)=(peanut error correction) | Cosine Similarity: 0.5
Skipping through the sky at the speed of sound = the gearing at the headstock of a lathe for reducing the speed of the spindle from that of the driving pulley | (ab)=(Skipping through the sky at the speed of sound error correction) == (ab)=(the gearing at the headstock of a lathe for reducing the speed of the spindle from that of the driving pulley error correction) | Cosine Similarity: 0.65969924570031
Flourishing gullible green jealous dried. = green | (ab)=(Flourishing gullible green jealous dried. error correction) == (ab)=(green error correction) | Cosine Similarity: 0.44721359549996
Green worn unseasoned jealous between. = green | (ab)=(Green worn unseasoned jealous between. error correction) == (ab)=(green error correction) | Cosine Similarity: 0.44721359549996
Organisms process cell from rigid. = cell | (ab)=(Organisms process cell from rigid. error correction) == (ab)=(cell error correction) | Cosine Similarity: 0.44721359549996
Plants that walls kingdom liverworts. = kingdom | (ab)=(Plants that walls kingdom liverworts. error correction) == (ab)=(kingdom error correction) | Cosine Similarity: 0.44721359549996
Fret disturbing thoughts; from oneself. = disturbing | (ab)=(Fret disturbing thoughts; from oneself. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Oneself disturbing with suffer from. = disturbing | (ab)=(Oneself disturbing with suffer from. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Suffer fret disturbing thoughts; oneself. = disturbing | (ab)=(Suffer fret disturbing thoughts; oneself. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Thoughts; torment from suffer with. = from | (ab)=(Thoughts; torment from suffer with. error correction) == (ab)=(from error correction) | Cosine Similarity: 0.44721359549996
Suffer fret from disturbing oneself. = disturbing | (ab)=(Suffer fret from disturbing oneself. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Fret thoughts; from suffer oneself. = from | (ab)=(Fret thoughts; from suffer oneself. error correction) == (ab)=(from error correction) | Cosine Similarity: 0.44721359549996
Oneself with suffer torment from. = to ingratiate oneself with : curry favor with | (ab)=(Oneself with suffer torment from. error correction) == (ab)=(to ingratiate oneself with : curry favor with error correction) | Cosine Similarity: 0.42426406871193
Suffer disturbing from torment fret. = disturbing | (ab)=(Suffer disturbing from torment fret. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Disturbing with suffer thoughts; oneself. = disturbing | (ab)=(Disturbing with suffer thoughts; oneself. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Torment fret with oneself from. = to ingratiate oneself with : curry favor with | (ab)=(Torment fret with oneself from. error correction) == (ab)=(to ingratiate oneself with : curry favor with error correction) | Cosine Similarity: 0.42426406871193
Thoughts; from oneself disturbing suffer. = disturbing | (ab)=(Thoughts; from oneself disturbing suffer. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Suffer oneself with disturbing torment. = disturbing | (ab)=(Suffer oneself with disturbing torment. error correction) == (ab)=(disturbing error correction) | Cosine Similarity: 0.44721359549996
Torment from fret oneself suffer. = from | (ab)=(Torment from fret oneself suffer. error correction) == (ab)=(from error correction) | Cosine Similarity: 0.44721359549996
From torment suffer fret disturbing. = from | (ab)=(From torment suffer fret disturbing. error correction) == (ab)=(from error correction) | Cosine Similarity: 0.44721359549996
Oneself torment thoughts; fret from. = a Greek ornamental fret | (ab)=(Oneself torment thoughts; fret from. error correction) == (ab)=(a Greek ornamental fret error correction) | Cosine Similarity: 0.22360679774998
Condescending inexperienced same (young pitt). = Same Hemostatic. | (ab)=(Condescending inexperienced same (young pitt). error correction) == (ab)=(Same Hemostatic. error correction) | Cosine Similarity: 0.31622776601684
